category,myCategory,type,name,latinName,found,filter,photoPlace,photoDate,photo
Änder,Vattenfågel,F,Prutgås,Branta bernicla,FALSE,nf,,,null
Änder,Vattenfågel,T,Rödhalsad gås,Branta ruficollis,FALSE,nf,,,null
Änder,Vattenfågel,H,Kanadagås,Branta canadensis,FALSE,nf,,,null
Änder,Vattenfågel,H,Vitkindad gås,Branta leucopsis,TRUE,Star,Djurgården,2026-05-02,https://www.datocms-assets.com/147026/1777804330-vitkindadgas_260502_djurgarden_3132.jpg
Änder,Vattenfågel,H,Grågås,Anser anser,TRUE,Star,Djurgården,2026-05-02,https://www.datocms-assets.com/147026/1777804330-gragas_260502_djurgarden_3166.jpg
Änder,Vattenfågel,H,Sädgås,Anser fabalis,FALSE,nf,,,null
Änder,Vattenfågel,F,Spetsbergsgås,Anser brachyrhynchus,FALSE,nf,,,null
Änder,Vattenfågel,H,Bläsgås,Anser albifrons,FALSE,nf,,,null
Änder,Vattenfågel,H,Fjällgås,Anser erythropus,FALSE,nf,,,null
Änder,Vattenfågel,H,Knölsvan,Cygnus olor,TRUE,Check,Nyckelviken,2025-05-11,https://www.datocms-assets.com/147026/1777804264-knolsvan_250511_nyckelviken_2865.jpg
Änder,Vattenfågel,F,Mindre sångsvan,Cygnus columbianus,FALSE,nf,,,null
Änder,Vattenfågel,H,Sångsvan,Cygnus cygnus,FALSE,nf,,,null
Änder,Vattenfågel,T,Nilgås,Alopochen aegyptiaca,FALSE,nf,,,null
Änder,Vattenfågel,H,Gravand,Tadorna tadorna,FALSE,nf,,,null
Änder,Vattenfågel,T,Rostand,Tadorna ferruginea,FALSE,nf,,,null
Änder,Vattenfågel,H,Årta,Anas querquedula,FALSE,nf,,,null
Änder,Vattenfågel,H,Skedand,Anas clypeata,FALSE,nf,,,null
Änder,Vattenfågel,H,Snatterand,Anas strepera,FALSE,nf,,,null
Änder,Vattenfågel,H,Bläsand,Anas penelope,FALSE,nf,,,null
Änder,Vattenfågel,H,Gräsand,Anas platyrhynchos,TRUE,Star,Erstaviken,2026-05-01,https://www.datocms-assets.com/147026/1777804330-grasand_260502_erstavik_3115.jpg
Änder,Vattenfågel,H,Stjärtand,Anas acuta,FALSE,nf,,,null
Änder,Vattenfågel,H,Kricka,Anas crecca,FALSE,nf,,,null
Änder,Vattenfågel,T,Amerikansk kricka,Anas carolinensis,FALSE,nf,,,null
Änder,Vattenfågel,T,Rödhuvad dykand,Netta rufina,FALSE,nf,,,null
Änder,Vattenfågel,H,Brunand,Aythya ferina,FALSE,nf,,,null
Änder,Vattenfågel,H,Vigg,Aythya fuligula,TRUE,Star,Nyckelviken,2025-05-11,https://www.datocms-assets.com/147026/1777804264-vigg_250511_nyckelviken_2837.jpg
Änder,Vattenfågel,H,Bergand,Aythya marila,FALSE,nf,,,null
Änder,Vattenfågel,T,Alförrädare,Polysticta stelleri,FALSE,nf,,,null
Änder,Vattenfågel,T,Praktejder,Somateria spectabilis,FALSE,nf,,,null
Änder,Vattenfågel,H,Ejder,Somateria mollissima,FALSE,nf,,,null
Änder,Vattenfågel,H,Svärta,Melanitta fusca,FALSE,nf,,,null
Änder,Vattenfågel,H,Sjöorre,Melanitta nigra,FALSE,nf,,,null
Änder,Vattenfågel,H,Alfågel,Clangula hyemalis,FALSE,nf,,,null
Änder,Vattenfågel,H,Knipa,Bucephala clangula,TRUE,Star,Djurgården,2026-05-02,https://www.datocms-assets.com/147026/1777804330-knipa_260502_djurgarden_3185.jpg
Änder,Vattenfågel,H,Salskrake,Mergus albellus,FALSE,nf,,,null
Änder,Vattenfågel,H,Småskrake,Mergellus serrator,FALSE,nf,,,null
Änder,Vattenfågel,H,Storskrake,Mergus merganser,TRUE,Check,Djurgården,2026-05-02,https://www.datocms-assets.com/147026/1777804331-storskrake_260502_djurgarden_3140.jpg
Änder,Vattenfågel,T,Mandarinand,Aix galericulata,FALSE,nf,,,null
Fasanfåglar,Hönsfågel,H,Järpe,Tetrastes bonasia,FALSE,nf,,,null
Fasanfåglar,Hönsfågel,H,Dalripa,Lagopus lagopus,FALSE,nf,,,null
